Date: 05/07/2021

17:07:10 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 46018, 0, 0, 0, 0, 2838]
17:07:18 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 35706, 0, 0, 0, 0, 2855]
17:07:25 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 39768, 0, 0, 0, 0, 2844]
17:07:33 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 32893, 0, 0, 0, 0, 2772]
17:07:41 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 41956, 0, 0, 0, 0, 2788]
17:07:49 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 22581, 0, 0, 0, 0, 2839]
17:07:57 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 13518, 0, 0, 0, 0, 2793]
17:08:05 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 58831, 0, 0, 0, 0, 2863]
17:08:13 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 55081, 0, 0, 0, 0, 2855]
17:08:21 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 61956, 0, 0, 0, 0, 2855]
17:08:29 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 53831, 0, 0, 0, 0, 2840]
17:08:37 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 31643, 0, 0, 0, 0, 2828]
17:08:45 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 41956, 0, 0, 0, 0, 2843]
17:08:53 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 35706, 0, 0, 0, 0, 2846]
17:09:00 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 58831, 0, 0, 0, 0, 2845]
17:09:08 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 51956, 0, 0, 0, 0, 2849]
17:09:16 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 46956, 0, 0, 0, 0, 2788]
17:09:24 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 34768, 0, 0, 0, 0, 2834]
